time,open,high,low,close
2021-06-08T03:00:00-04:00,13825.25,13829,13790.75,13801.75
2021-06-08T04:00:00-04:00,13801.25,13833.5,13798.5,13833
2021-06-08T05:00:00-04:00,13832.75,13849.75,13822.75,13846
2021-06-08T06:00:00-04:00,13846,13847.75,13785.5,13843.5
2021-06-08T07:00:00-04:00,13843.75,13878,13836.25,13875
2021-06-08T08:00:00-04:00,13875.25,13896.75,13870.25,13876.25
2021-06-08T09:00:00-04:00,13877,13917.25,13831.5,13839.5
2021-06-08T10:00:00-04:00,13839.5,13855,13797.5,13808.25
2021-06-08T11:00:00-04:00,13808.25,13825,13741.75,13783.25
2021-06-08T12:00:00-04:00,13783.25,13824.5,13777.5,13822.5
2021-06-08T13:00:00-04:00,13822.25,13822.75,13794,13800.5
2021-06-08T14:00:00-04:00,13800.25,13833,13794.25,13829.5
2021-06-08T15:00:00-04:00,13829.75,13838,13806.5,13809
2021-06-08T16:00:00-04:00,13809,13818.5,13806.25,13812.75
2021-06-08T18:00:00-04:00,13813,13822.5,13803.5,13821.25
2021-06-08T19:00:00-04:00,13821.25,13824,13812.75,13817.5
2021-06-08T20:00:00-04:00,13817.5,13833.75,13808.25,13831
2021-06-08T21:00:00-04:00,13831,13832.25,13806,13820
2021-06-08T22:00:00-04:00,13820.75,13826.25,13809.75,13826
2021-06-08T23:00:00-04:00,13826.75,13831.5,13819,13820.5
2021-06-09T00:00:00-04:00,13821,13824,13814,13816.75
2021-06-09T01:00:00-04:00,13816.5,13825,13809.75,13816
2021-06-09T02:00:00-04:00,13815.75,13828.5,13808.75,13826
2021-06-09T03:00:00-04:00,13825.5,13845.25,13813.25,13820.5
2021-06-09T04:00:00-04:00,13820.75,13842.25,13819.25,13834
2021-06-09T05:00:00-04:00,13834,13835.75,13816.25,13827.25
2021-06-09T06:00:00-04:00,13827.5,13854,13826.75,13851.5
2021-06-09T07:00:00-04:00,13851.75,13864,13829.25,13857.25
2021-06-09T08:00:00-04:00,13857.75,13871.75,13842,13861.75
2021-06-09T09:00:00-04:00,13861.5,13904.25,13843.25,13872.25
2021-06-09T10:00:00-04:00,13872.5,13880,13825.25,13847.25
2021-06-09T11:00:00-04:00,13847.25,13866,13817.25,13830
2021-06-09T12:00:00-04:00,13830,13869,13825.25,13867.75
2021-06-09T13:00:00-04:00,13867.75,13876.25,13855.25,13860.5
2021-06-09T14:00:00-04:00,13860.75,13870.5,13839.25,13840.5
2021-06-09T15:00:00-04:00,13840.25,13844.5,13808.5,13815.75
2021-06-09T16:00:00-04:00,13815.75,13820.75,13809.75,13811.5
2021-06-09T18:00:00-04:00,13817,13824,13814.25,13818
2021-06-09T19:00:00-04:00,13818,13825.5,13811.25,13815.25
2021-06-09T20:00:00-04:00,13815,13828.5,13813.75,13824.75
2021-06-09T21:00:00-04:00,13825,13837.25,13821,13829.5
2021-06-09T22:00:00-04:00,13830.75,13839.5,13827.25,13829.75
2021-06-09T23:00:00-04:00,13829.75,13834.75,13825.25,13833.5
2021-06-10T00:00:00-04:00,13833.75,13836,13828.5,13830.25
2021-06-10T01:00:00-04:00,13830.75,13831.5,13816.5,13820.5
2021-06-10T02:00:00-04:00,13820.25,13822.25,13786.75,13802.25
2021-06-10T03:00:00-04:00,13802.75,13806.75,13773.5,13801.5
